gold_file;pred_file;pred_id;subjects;em;f1;recall;precision;iteration;tokens_in;tokens_out;elapsed_time;model;sparql_parsing_error;sparql_not_found;state_success;state_fail;state_init;state_unknown
large-customers-of-tsmc.json;large-customers-of-tsmc-llama-3-3-70b-instruct-state-success-6-67d214c9.json;67d214c9;three triple patterns, supply;0;0;0,0;0,0;6;60541;813;90558;llama-3.3-70b-instruct;False;False;1;0;0;0
operationg-income-of-very-large-companies.json;operationg-income-of-very-large-companies-llama-3-3-70b-instruct-state-fail-5-67d216cd.json;67d216cd;three triple patterns, keyfigure;0;0;0,0;0;5;17783;619;81438;llama-3.3-70b-instruct;False;False;0;1;0;0
customers-of-tsmc-that-offer-design-services.json;customers-of-tsmc-that-offer-design-services-llama-3-3-70b-instruct-state-fail-5-67d20905.json;67d20905;three triple patterns, supply;0;0;0,0;0;5;21935;604;46665;llama-3.3-70b-instruct;False;False;0;1;0;0
net-profit-of-companies-with-assembly-test-sites.json;net-profit-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-7-67d21527.json;67d21527;four triple patterns, keyfigure;0;0;0,0;0;7;55457;1189;110902;llama-3.3-70b-instruct;False;False;0;1;0;0
country-where-tsmc-has-its-headquarter.json;country-where-tsmc-has-its-headquarter-llama-3-3-70b-instruct-state-success-7-67d20f79.json;67d20f79;three triple patterns, geo;0;0;0,0;0,0;7;36944;702;56294;llama-3.3-70b-instruct;False;False;1;0;0;0
ceo-of-intel.json;ceo-of-intel-llama-3-3-70b-instruct-state-success-6-67d20af7.json;67d20af7;three triple patterns, member;1;1,0;1,0;1,0;6;153483;792;115169;llama-3.3-70b-instruct;False;False;1;0;0;0
employee-count-of-companies-with-assembly-test-sites.json;employee-count-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-8-67d205cf.json;67d205cf;four triple patterns, keyfigure;0;0;0,0;0;8;63682;1536;104341;llama-3.3-70b-instruct;False;False;0;1;0;0
types-of-companies.json;types-of-companies-llama-3-3-70b-instruct-state-success-4-67d2076f.json;67d2076f;one triple pattern;1;1,0;1,0;1,0;4;7302;705;44548;llama-3.3-70b-instruct;False;False;1;0;0;0
people-with-publications.json;people-with-publications-llama-3-3-70b-instruct-state-success-4-67d2a41b.json;67d2a41b;two triple patterns;1;1,0;1,0;1,0;4;8093;427;32092;llama-3.3-70b-instruct;False;False;1;0;0;0
ceos-of-companies-that-offer-foundry-services.json;ceos-of-companies-that-offer-foundry-services-llama-3-3-70b-instruct-state-success-4-67d20bf8.json;67d20bf8;four triple patterns, member;1;1,0;1,0;1,0;4;74495;429;53441;llama-3.3-70b-instruct;False;False;1;0;0;0
