gold_file;pred_file;pred_id;subjects;em;f1;recall;precision;iteration;tokens_in;tokens_out;elapsed_time;model;sparql_parsing_error;sparql_not_found;state_success;state_fail;state_init;state_unknown
large-customers-of-tsmc.json;large-customers-of-tsmc-llama-v3p3-70b-instruct-state-fail-6-67d47794.json;67d47794;three triple patterns, supply;0;0;0,0;0;6;26521;1008;24012;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
operationg-income-of-very-large-companies.json;operationg-income-of-very-large-companies-llama-v3p3-70b-instruct-state-fail-6-67d472e7.json;67d472e7;three triple patterns, keyfigure;0;0;0,0;0;6;23810;673;17259;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
customers-of-tsmc-that-offer-design-services.json;customers-of-tsmc-that-offer-design-services-llama-v3p3-70b-instruct-state-success-8-67d476a3.json;67d476a3;three triple patterns, supply;0;0;0,0;0;8;48026;1950;41156;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
net-profit-of-companies-with-assembly-test-sites.json;net-profit-of-companies-with-assembly-test-sites-llama-v3p3-70b-instruct-state-success-7-67d477e2.json;67d477e2;four triple patterns, keyfigure;0;0,28815628815628813;0,2645739910313901;0,3163538873994638;7;27926;967;16413;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
country-where-tsmc-has-its-headquarter.json;country-where-tsmc-has-its-headquarter-llama-v3p3-70b-instruct-state-success-6-67d47868.json;67d47868;three triple patterns, geo;0,0;0,0;0,0;0,0;6;46938;451;23373;accounts/fireworks/models/llama-v3p3-70b-instruct;False;True;1;0;0;0
ceo-of-intel.json;ceo-of-intel-llama-v3p3-70b-instruct-state-success-7-67d4729b.json;67d4729b;three triple patterns, member;0;0;0,0;0;7;192767;1041;25448;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
employee-count-of-companies-with-assembly-test-sites.json;employee-count-of-companies-with-assembly-test-sites-llama-v3p3-70b-instruct-state-fail-6-67d477c9.json;67d477c9;four triple patterns, keyfigure;0;0;0,0;0;6;16596;966;21855;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
types-of-companies.json;types-of-companies-llama-v3p3-70b-instruct-state-success-4-67d478a5.json;67d478a5;one triple pattern;1;1,0;1,0;1,0;4;8013;411;9915;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
people-with-publications.json;people-with-publications-llama-v3p3-70b-instruct-state-success-4-67d4771d.json;67d4771d;two triple patterns;1;1,0;1,0;1,0;4;8680;372;8931;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
ceos-of-companies-that-offer-foundry-services.json;ceos-of-companies-that-offer-foundry-services-llama-v3p3-70b-instruct-state-fail-11-67d4766b.json;67d4766b;four triple patterns, member;0;0;0,0;0;11;299851;2099;31864;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
total-assets-of-fabless-companies.json;total-assets-of-fabless-companies-llama-v3p3-70b-instruct-state-fail-6-67d474b2.json;67d474b2;three triple patterns, keyfigure;0;0;0,0;0;6;44005;810;21891;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
capex-of-companies-offering-foundry-services.json;capex-of-companies-offering-foundry-services-llama-v3p3-70b-instruct-state-success-9-67d47479.json;67d47479;three triple patterns, keyfigure;0;0;0,0;0,0;9;98755;1150;30958;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
medium-size-companies-with-sites-in-nuremberg.json;medium-size-companies-with-sites-in-nuremberg-llama-v3p3-70b-instruct-state-success-4-67d478b2.json;67d478b2;three triple patterns, geo;1;1,0;1,0;1,0;4;15929;759;18385;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
companies-offering-design-services.json;companies-offering-design-services-llama-v3p3-70b-instruct-state-success-4-67d476ef.json;67d476ef;one triple pattern;1;1,0;1,0;1,0;4;14845;479;10623;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
small-fabless-companies.json;small-fabless-companies-llama-v3p3-70b-instruct-state-success-4-67d475ea.json;67d475ea;two triple patterns;0;0,7089947089947091;1,0;0,5491803278688525;4;29157;524;11700;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
large-suppliers-of-tsmc.json;large-suppliers-of-tsmc-llama-v3p3-70b-instruct-state-fail-8-67d47902.json;67d47902;three triple patterns, supply;0;0;0,0;0;8;109903;1272;25434;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
companies-with-sites-in-ireland.json;companies-with-sites-in-ireland-llama-v3p3-70b-instruct-state-success-4-67d4744f.json;67d4744f;two triple patterns, geo;1;1,0;1,0;1,0;4;9850;427;13859;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
medium-size-suppliers-of-large-companies.json;medium-size-suppliers-of-large-companies-llama-v3p3-70b-instruct-state-fail-6-67d477f6.json;67d477f6;four triple patterns, supply;0;0,22857142857142856;0,38095238095238093;0,16326530612244897;6;44807;905;13018;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;0;1;0;0
companies-with-sites-in-nuremberg.json;companies-with-sites-in-nuremberg-llama-v3p3-70b-instruct-state-success-4-67d47729.json;67d47729;two triple patterns, geo;1;1,0;1,0;1,0;4;9255;614;8672;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
sites-of-intel.json;sites-of-intel-llama-v3p3-70b-instruct-state-success-4-67d4759c.json;67d4759c;one triple pattern;1;1,0;1,0;1,0;4;35382;788;27865;accounts/fireworks/models/llama-v3p3-70b-instruct;False;False;1;0;0;0
