gold_file;pred_file;pred_id;subjects;em;f1;recall;precision;iteration;tokens_in;tokens_out;elapsed_time;model;sparql_parsing_error;sparql_not_found;state_success;state_fail;state_init;state_unknown
large-customers-of-tsmc.json;large-customers-of-tsmc-llama-3-3-70b-instruct-state-success-5-67d37a6b.json;67d37a6b;three triple patterns, supply;0;0;0,0;0,0;5;37715;2116;126262;llama-3.3-70b-instruct;False;False;1;0;0;0
operationg-income-of-very-large-companies.json;operationg-income-of-very-large-companies-llama-3-3-70b-instruct-state-fail-6-67d37020.json;67d37020;three triple patterns, keyfigure;0;0;0,0;0;6;24648;963;64380;llama-3.3-70b-instruct;False;False;0;1;0;0
customers-of-tsmc-that-offer-design-services.json;customers-of-tsmc-that-offer-design-services-llama-3-3-70b-instruct-state-fail-10-67d37762.json;67d37762;three triple patterns, supply;0,0;0,0;0,0;0,0;10;76997;2033;198954;llama-3.3-70b-instruct;True;False;0;1;0;0
net-profit-of-companies-with-assembly-test-sites.json;net-profit-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-10-67d37160.json;67d37160;four triple patterns, keyfigure;0;0;0,0;0;10;83505;1515;108846;llama-3.3-70b-instruct;False;False;0;1;0;0
country-where-tsmc-has-its-headquarter.json;country-where-tsmc-has-its-headquarter-llama-3-3-70b-instruct-state-success-6-67d37b34.json;67d37b34;three triple patterns, geo;1;1,0;1,0;1,0;6;28685;665;71562;llama-3.3-70b-instruct;False;False;1;0;0;0
ceo-of-intel.json;ceo-of-intel-llama-3-3-70b-instruct-state-success-11-67d372f2.json;67d372f2;three triple patterns, member;1;1,0;1,0;1,0;11;156872;1485;119772;llama-3.3-70b-instruct;False;False;1;0;0;0
employee-count-of-companies-with-assembly-test-sites.json;employee-count-of-companies-with-assembly-test-sites-llama-3-3-70b-instruct-state-fail-8-67d3e0be.json;67d3e0be;four triple patterns, keyfigure;0;0;0,0;0;8;22276;1046;63242;llama-3.3-70b-instruct;False;False;0;1;0;0
types-of-companies.json;types-of-companies-llama-3-3-70b-instruct-state-success-5-67d38187.json;67d38187;one triple pattern;1;1,0;1,0;1,0;5;43609;969;75074;llama-3.3-70b-instruct;False;False;1;0;0;0
people-with-publications.json;people-with-publications-llama-3-3-70b-instruct-state-success-4-67d374b2.json;67d374b2;two triple patterns;1;1,0;1,0;1,0;4;8230;301;19172;llama-3.3-70b-instruct;False;False;1;0;0;0
ceos-of-companies-that-offer-foundry-services.json;ceos-of-companies-that-offer-foundry-services-llama-3-3-70b-instruct-state-success-4-67d3790a.json;67d3790a;four triple patterns, member;1;1,0;1,0;1,0;4;15190;411;25942;llama-3.3-70b-instruct;False;False;1;0;0;0
